keys,en,es
Text/15/text,,Para arrancar vamos a entender los conceptos básicos., let's understand the basics.,Para arrancar vamos a entender los conceptos básicos.
Text/16/text,,Comencemos con una red: es un sistema el cual permite conectar todos los dispositivos para que puedan compartir información entre si., enabling them to share information with one another.,Comencemos con una red: es un sistema el cual permite conectar todos los dispositivos para que puedan compartir información entre si.
Text/17/text,,"Para hacerlo más fácil, una red es cuando pasamos fotos por whatsapp? Responde V/F.",
Text Input/18/text,Ingresa tu respuesta:,
Text Input/18/placeholder,T/F,V/F
Text Input/18/default,,
Text/19/text,Nice!,Muy bien!
Text/1a/text,That is definitely not the answer.,Definitivamente esa no es la respuesta.
Text/1b/text,That is definitely not the answer.,Definitivamente esa no es la respuesta.
Text/1c/text,Nice!,Muy bien!
Text/1d/text,Nice!,Muy bien!
Text/1e/text,Nice!,Muy bien!
Text/1f/text,That is definitely not the answer.,Definitivamente esa no es la respuesta.
Text/20/text,That is definitely not the answer.,Definitivamente esa no es la respuesta.
Text/21/text,Did you think you were going to break the program? HAHA,Creíste que ibas a romper el programa? JAJA
Text/22/text,"Now we will review the following concepts: Device, Link, Port, and Packet. But, what is a device?","Ahora repasaremos los siguientes conceptos: Dispositivo, Link, Puerto y Paquete, ¿Pero qué es un dispositivo?"
Text/23/text,"It's anything that connects to the network: a PC, a cell phone, or a printer. In HydraLearn, you'll see them as icons that you place on the stage.","Es cualquier cosa que se conecta a la red: una PC, un celular, una impresora. En HydraLearn los verás como íconos que pones en el escenario."
Text/24/text,"A link is the ""pipe"" or cable that connects two devices. In HydraLearn, it’s literally a line between two icons. Without a link, devices are like neighbors who don't even say hello.","Un link es el ""tubo"" o cable que une dos dispositivos. En HydraLearn es literalmente una línea entre dos íconos. Sin link, los dispositivos son vecinos que ni se saludan."
Text/25/text,"A port is the slot where the cable connects, and each device has one or more. It’s like the socket where you plug things in. Without a port, no connection is possible.","El puerto es el hueco donde se conecta el cable, cada dispositivo tiene uno o varios. Es como la ranura donde metes el enchufe. Sin puerto no hay conexión posible."
Text/26/text,"And a packet is, so to speak, the ""note"" that travels through the network. Information is divided into small packets that travel separately.","Y el paquete es por así decirlo la ""nota"" que viaja por la red, la información se divide en pequeños paquetes que viajan por separado."
Text/27/text,And once they reach the destination device, they come back together.,Y al llegar al dispositivo destino se vuelven a unir.
