key,en,es
D6DE25_6FA772,"[[Hi|Hello|Hey there|Welcome]], and welcome to HydraLearn!","[[Hola|Buenas|Hey|Bienvenido]], y bienvenido a HydraLearn!"
D6DE25_165D89,"I’m HydraBot, your guide on this journey into the world of networks.","Soy HydraBot, tu guía en este viaje por el mundo de las redes."
D6DE25_9C5EDE,"Here, you'll learn the fundamentals — how systems connect, communicate, and exchange information behind the scenes.","Aquí aprenderás los fundamentos: cómo los sistemas se conectan, se comunican e intercambian información detrás de escena."
D6DE25_3DF7DB,"Sounds complex? Don’t worry… we’ll break it down step by step.","¿Suena complejo? No te preocupes… lo desglosaremos paso a paso."
D6DE25_0763BE,"But here’s where things get really interesting.","Pero aquí es donde las cosas se ponen realmente interesantes."
D6DE25_2EF7B2,"You won’t just learn theory — you’ll *build* and *experiment*.","No solo aprenderás teoría: vas a *construir* y *experimentar*."
D6DE25_B92478,"Inside HydraLearn, you’ll use the Hydra Editor — the place where the magic happens.","Dentro de HydraLearn usarás el Hydra Editor — el lugar donde ocurre la magia."
D6DE25_55FA98,"It’s where you’ll design, test, and truly understand how networks behave in action.","Ahí es donde diseñarás, probarás y realmente entenderás cómo se comportan las redes en acción."
D6DE25_EA7300,"Think of it as your personal lab.","Piénsalo como tu laboratorio personal."
D6DE25_596D8C,"Safe, interactive, and powerful.","Seguro, interactivo y potente."
D6DE25_64A3FC,"Ready to get started?","¿Listo para empezar?"
D6DE25_4BE500,"That’s the spirit. Let’s dive in.","Esa es la actitud. Vamos a empezar."
D6DE25_5D4258,"Let’s begin!","¡Comencemos!"
D6DE25_390D7B,"You’ll learn how hosts communicate, how switches forward data, and how MAC addresses identify devices inside a network.","Aprenderás cómo los hosts se comunican, cómo los switches reenvían datos y cómo las direcciones MAC identifican dispositivos dentro de una red."
D6DE25_CC27B9,"You’ll also explore how data flows from one point to another and what really happens behind every connection.","También explorarás cómo fluye la información de un punto a otro y qué sucede realmente detrás de cada conexión."
D6DE25_9C952B,"Take your time, experiment, and don’t be afraid to make mistakes. That’s how real learning happens.","Tómate tu tiempo, experimenta y no tengas miedo de equivocarte. Así es como ocurre el aprendizaje real."
D6DE25_31D095,"Perfect. Let’s begin.","Perfecto. Comencemos."
D6DE25_259E97,"Now I’m ready","Ahora estoy listo"
D6DE25_3C25C3,"Tell me more first","Cuéntame más primero"
C52675_0768C5,"Alright, let’s take a look at your workspace.","Bien, echemos un vistazo a tu espacio de trabajo."
C52675_ACAE23,"On the right side, you’ll see a panel where you can drag different devices into the scene.","En el lado derecho, verás un panel donde puedes arrastrar diferentes dispositivos a la escena."
C52675_D30AE3,"For now, you have access to two of them.","Por ahora, tienes acceso a dos de ellos."
C52675_92B1A2,"The first one is a PC.","El primero es una PC."
C52675_272AAA,"In simple terms, it’s responsible for sending and receiving messages across the network.","En términos sencillos, es responsable de enviar y recibir mensajes a través de la red."
C52675_A3EF40,"The second one is a switch.","El segundo es un switch."
C52675_001288,"It acts like a smart repeater, forwarding data between devices so they can communicate efficiently.","Actúa como un repetidor inteligente, reenviando datos entre dispositivos para que puedan comunicarse eficientemente."
C52675_8D7702,"Try dragging them into the workspace and see what happens.","Intenta arrastrarlos al espacio de trabajo y mira qué sucede."
C52675_654818,"Great. Go ahead and place your first devices.","Genial. Adelante, coloca tus primeros dispositivos."
C52675_40B232,"Got it!","¡Entendido!"
C52675_039F2A,"On the right panel, drag a PC and a switch into the scene.","En el panel derecho, arrastra una PC y un switch a la escena."
C52675_CC10BE,"The PC sends and receives messages, and the switch helps connect devices by forwarding data.","La PC envía y recibe mensajes, y el switch ayuda a conectar dispositivos reenviando datos."
C52675_40700A,"Perfect. Give it a try.","Perfecto. Inténtalo."
C52675_FFDB83,"Okay, now I understand","Vale, ahora entiendo"
C52675_4F8D95,"Explain again","Explícame de nuevo"
6FA629_FFFE5C,"Well done! Now let’s connect them.","¡Bien hecho! Ahora conectémoslos."
6FA629_5A83FD,"Try dragging from one of the white points on the PC to the switch.","Intenta arrastrar desde uno de los puntos blancos de la PC hacia el switch."
6FA629_D9759D,"Click, drag, and release on the other white point.","Haz clic, arrastra y suelta en el otro punto blanco."
6FA629_A87787,"That’s how you’ll create your first connection.","Así es como crearás tu primera conexión."
6FA629_CBC71E,"Nice work. You’re starting to think like a network engineer.","Buen trabajo. Estás empezando a pensar como un ingeniero de redes."
6FA629_75E45A,"Done!","¡Listo!"
6FA629_8E001F,"Look for the small white points on each device.","Busca los pequeños puntos blancos en cada dispositivo."
6FA629_3DFE23,"Click on one from the PC, drag it to the switch, and release it on its white point.","Haz clic en uno de la PC, arrástralo al switch y suéltalo en su punto blanco."
6FA629_567DD2,"Perfect. Go ahead and connect them.","Perfecto. Adelante, conéctalos."
6FA629_2BE6B5,"Got it now","Ya lo entendí"
6FA629_71C7F6,"I need help","Necesito ayuda"
D3A281_921842,"Great progress so far. Now let’s explore the inspector.","Gran progreso hasta ahora. Ahora exploremos el inspector."
D3A281_45133C,"When you select a single device, take a look at the panel on the right.","Cuando selecciones un solo dispositivo, echa un vistazo al panel de la derecha."
D3A281_70C87E,"That’s the inspector.","Ese es el inspector."
D3A281_402E25,"It shows useful information like the device name, its MAC address, and the number of ports.","Muestra información útil como el nombre del dispositivo, su dirección MAC y el número de puertos."
D3A281_6FAC77,"If you select a switch, you’ll notice something interesting.","Si seleccionas un switch, notarás algo interesante."
D3A281_C183C5,"It doesn’t have interaction options.","No tiene opciones de interacción."
D3A281_5AE1D1,"That’s because a switch doesn’t send messages like a computer does.","Eso es porque un switch no envía mensajes como lo hace una computadora."
D3A281_F5315C,"Instead, it quietly forwards data between devices.","En cambio, reenvía datos silenciosamente entre dispositivos."
D3A281_B367A0,"Go ahead and click on different devices and observe how the inspector changes.","Adelante, haz clic en diferentes dispositivos y observa cómo cambia el inspector."
D3A281_ED31B5,"Nice. Understanding your tools is key.","Bien. Entender tus herramientas es clave."
D3A281_5D2E5B,"Got it!","¡Entendido!"
D3A281_3D6EEB,"Select a device and check the right panel.","Selecciona un dispositivo y revisa el panel derecho."
D3A281_D2647B,"You’ll see its name, MAC address, and ports.","Verás su nombre, dirección MAC y puertos."
D3A281_B1D85F,"PCs can interact, but switches only forward data.","Las PCs pueden interactuar, pero los switches solo reenvían datos."
D3A281_E1E18E,"Perfect. Keep exploring.","Perfecto. Sigue explorando."
D3A281_F0E716,"Okay, now I see it","Vale, ahora lo veo"
