key,en,es
K_PLAY,Play,Jugar
K_SETTINGS,Settings,Configuración
K_QUIT,Quit,Salir
K_APP_NAME,HydraLearn,HydraLearn
K_MENU_VIDEO,Video,Video
K_MENU_AUDIO,Audio,Audio
K_AUDIO_VOLUME_MASTER,Master Volume,Volumen General
K_AUDIO_VOLUME_SFX,Sound Effects Volume,Volumen de Efectos
K_AUDIO_VOLUME_MUSIC,Music Volume,Volumen de Música
K_MENU_LEVELS,Levels,Niveles
K_NETWORKING_EDITOR,Editor,Editor
K_LEVEL_LABEL,Level {n},Nivel {n}
K_VIDEO_RESOLUTION,Resolution,Resolución
K_VIDEO_WINDOW_MODE,Window Mode,Modo de Ventana
K_VIDEO_WINDOW_MODE_MAXIMIZED,Maximized,Maximizado
K_VIDEO_WINDOW_MODE_WINDOWED,Windowed,En ventana
K_VIDEO_WINDOW_MODE_FULLSCREEN,Fullscreen,Pantalla completa
K_EDITOR_INSPECTOR,Inspector,Inspector
K_LEVEL_SWITCH_AND_HOST,Switch and Host,Switch y Host
K_LEVEL_CONNECTIONS,Connections,Conexiones
K_LEVEL_INSPECTOR,Inspector,Inspector
K_LEVEL_TOOLBAR,Toolbar,Barra de herramientas
K_LEVEL_SEND_PACKETS,Send Packets,Enviar paquetes
K_LEVEL_FINISH,Finish,Finalizar
